t_x,t_y,t_z,success
-0.4999999084093724,-0.4999999620619211,-0.9038041417797408,False
-0.8000000039736429,-1.1102230246251563e-16,-0.9038041417797408,False
-0.7999999651033192,0.49999995681789317,-0.9038041417797408,False
-0.4999999084093724,-0.4999999620619211,-0.9038041417797408,False
-0.8000000039736429,-1.1102230246251563e-16,-0.9038041417797408,False
-0.7999999651033192,0.49999995681789317,-0.9038041417797408,False
-0.8000000039736429,-1.1102230246251563e-16,-0.9038041417797408,False
-0.4999999084093724,-0.4999999620619211,-0.9038041417797408,False
-0.7999999651033192,0.49999995681789317,-0.9038041417797408,False
-0.8000000039736429,-1.1102230246251563e-16,-0.9038041417797408,False
-0.4999999084093724,-0.4999999620619211,-0.9038041417797408,False
-0.7999999651033192,0.49999995681789317,-0.9038041417797408,False
-0.7999999651033192,0.49999995681789317,-0.9038041417797408,False
-0.4999999084093724,-0.4999999620619211,-0.9038041417797408,False
-0.8000000039736429,-1.1102230246251563e-16,-0.9038041417797408,False
-0.8000000039736429,-1.1102230246251563e-16,-0.9038041417797408,False
-0.4999999084093724,-0.4999999620619211,-0.9038041417797408,False
-0.7999999651033192,0.49999995681789317,-0.9038041417797408,False
